CompanyName,Category,Country,Description,Website,LogoURL
4 Earth 2 Mars Holding B.V.,startup,,"At 4 Earth 2 Mars, we develop CATs&DOG — a modular building system combining AI, geometry, origami, and circular design to enable off-grid construction anywhere, even in extreme environments. It includes design software, portable units, and DIY tools.",https://www.4earth2mars.com/,
40WATTS CYCLES,startup,,"40Watts extends the life of electric bikes by reconditioning and repairing batteries using advanced automation - enabling smarter, more sustainable mobility.",https://40Watts.fr,
4Division,startup,,"4DiVISION is a leading company in autonomous manufacturing and smart factory solutions, providing high-quality automation solutions through its proprietary 3D sensors and on-sensor AI technology.",https://4division.quv.kr,
Aalia.Tech,startup,France,"Overcome language barriers in healthcare with AaliaTalk, our Al-based smart voice assistant that facilitates communication between healthcare providers and patients, while considering cultural and medical contexts. Available on iOS, Android and WebApp.",https://www.aalia.tech,
AB Corp,startup,,"Thrustore accelerates e-commerce brand growth with expertly-crafted productized services. From strategy to product listing optimization, we enable sellers to achieve measurable, scalable results with proven frameworks, executed by experts and agents. ",https://thrustore.com,
Abbott,partner,,,,
ABOUT Ü,startup,,"About ü is reinventing executive hiring with a vetted pool of top-tier talent in active, confidential search. Efficient, bias-free, and impact-led — because leadership diversity isn’t a bonus. It’s a competitive edge.",https://aboutu.fr/,
Absolute Labs,startup,USA,Absolute Labs is an AI-powered Web3 driven customer engagement platform that enables brands to unlock incremental revenue streams from crypto-savvy consumers. ,https://absolutelabs.io/,
Absys Cyborg,startup,,"Absys Cyborg advises companies in all sectors on choosing, deploying and integrating solutions for management, ERP, CRM, Reporting, Business Intelligence and Cloud.",https://www.absyscyborg.com/en,
Abyssale,startup,France,"Abyssale is an AI-powered platform that helps Agencies and Marketers generate banners and visuals at scale for ads, emails, print campaigns and social media. We automate creative production to save time and boost performance.",https://www.abyssale.com,
ACCELCITY,startup,,"AccelCity is a Moroccan startup using AI & IoT to help motorists find and pay for available parking spots. Our solution eases traffic, cuts emissions, and supports smart city goals. We seek partners and investors to scale across Europe and Morocco 2030",https://AccelCity.com,
Acceptable,startup,,"Quote, sign and charge for your digital services quickly and securely",https://acceptable.legal/en/,
AccessOff,startup,,"Are you suffering from sharing Passwords?
AccessOff lets teams securely share digital accounts without passwords. Customize access levels, track activity, and revoke instantly—full control, full visibility, fully flexible.",https://accessoff.io/,
Acecore Incorporations,startup,,"Acecore indigenously builds AI-powered solar energy systems to solve Africa's issues with unreliable electricity and fossil fuel dependence, offering modular, all-in-one clean energy solutions for homes and businesses.",https://www.acecore.tech,
Achille.ai ,startup,France,"Achille.ai reinvents customer service with a hybrid model: expert human agents + generative AI. It drafts or automates replies, learns from every answer, and delivers faster, brand-aligned support. ",https://www.achille.ai/,
Acquire to Decide (A2D),startup,,Software and applications for infrastructure inspection and monitoring.,https://www.a2d.ai/,
ACTIVE ASSET ALLOCATION,startup,,"Active Asset Allocation is a FinTech company that empowers asset managers, insurers, and distributors to optimize savings solutions. Our cloud-based platform Coanda, leverages AI and calculation APIs to streamline operations and enhance client engagement.",https://active-asset-allocation.com/fr/,
ActuIA,partner,,"ActuIA is France’s first media outlet entirely dedicated to artificial intelligence. We provide in-depth coverage of AI research, industry trends, and the societal impacts of intelligent technologies through articles, newsletters, and a quarterly printed magazine.

As a trusted source for professionals, researchers, and decision-makers, ActuIA bridges the gap between innovation and application. Our editorial team works closely with academic labs, startups, large corporations, and public institutions to deliver accurate and actionable insights.

What We Offer:

A quarterly magazine distributed in France and abroad
A daily news website with over 1 million weekly pageviews
A daily newsletter followed by top AI professionals
Custom content & advertising formats for tech companies and institutions
Looking for Partnerships With: AI startups, research labs, event organizers, tech companies.",https://www.actuia.com,
Acumino,startup,,"Acumino offers next-generation, AI powered robot workers for the execution of highly dexterous tasks in industrial automation settings. The Acumino AI is trained on the most accurate data of robot interactions and unlocks unmatched robot dexterity & ROI. ",http://www.acumino.ai,
AD'OCC - Région Occitanie,partner,,"Welcome to AD'OCC, your engine for economic development in Occitanie!

With 180 experts spread over 72,000 km², we can help your business succeed thanks to our AD'OCC 360° approach. Financing, export, innovation, location: we offer tailor-made solutions for every stage of your project.

Thanks to our in-depth knowledge of local sectors, we can offer you solutions tailored to your specific needs. Together, let's create new opportunities and succeed in Occitanie!",https://www.agence-adocc.com/vivatech/,
Ada Coffre,startup,,"Clésame is the future leader in death tech. Clésame automates estate management and digital death through a platform designed with notaries. Data centralization, secure transmission, and account termination: inheritance made simple.      ",https://www.clesame.fr,
Adaptive ML,startup,USA,"Adaptive Engine is a reinforcement learning platform that enables enterprises to fine-tune, evaluate and serve the best LLMs for their business. Deploy reliable AI agents that outperform proprietary LLMs, reinforcement fine-tuned using synthetic data.",https://www.adaptive-ml.com/,
ADCIS - Groupe Evolucare,startup,,"ADCIS specialized in image processing & analysis. A key player in the field of Computer Vision, ADCIS publishes Aphelion, an industrial image processing software, contributes to research projects and develops specialized applications for its customers...
",www.adcis.net,
ADD Accounting softoware,startup,,"A cloud app. assists you to manage all accounting transactions.  ADD accredited from ZACTA within the electronic invoicing service providers approved list for E- invoice, provide Sales Management such invoicing, quotations, and customer accounts.",https://addaccounting.com/,
addd Inc.,startup,,"Founded in 2018, addd Inc. is a Korea-based marketing agency specializing in AI and computer vision. We focus on transforming offline advertising into measurable media through data-driven innovation, with a vision to lead the future of intelligent OOH ad
",https://addd.co.kr/?lang=english,
ADIM - Agence de Développement et d'Innovation de Mayotte,partner,,"The Mayotte Agency for Development and Innovation (ADIM) is a public agency dedicated to supporting economic growth, innovation, and territorial development in Mayotte. Its mission is to identify and foster high-potential projects, strengthen the local entrepreneurial ecosystem, and promote sustainable development across the island. ADIM acts as a bridge between public authorities, private stakeholders, and local communities, facilitating collaboration and funding opportunities. Through tailored support programs, strategic partnerships, and innovation-driven initiatives, the agency plays a key role in transforming Mayotte’s challenges into opportunities for inclusive and resilient growth.
For more information, please contact us: poleinnovation@adim-mayotte.fr",https://www.adim-mayotte.fr/,
Adin AI,startup,,"ADIN.AI is an AI-native, holistic media planning & execution platform built for enterprises to take full control of their advertising efforts & investments. Advertisers can eliminate inefficiencies, increasing transparency, and maximizing ROI.
",https://www.adin.ai,
Admir,startup,,"Cancer is complex and unique to each patient, requiring accurate, personalized diagnostics. ADMIR offers high-throughput infrared imaging and deep learning-based analysis to visualize and map cellular metabolism in biopsy samples.",https://www.admir-analysis.com/,
ADOBE,partner,,"Adobe empowers everyone, everywhere to imagine, create, and bring any digital experience to life through its leading technologies. Adobe is uniquely positioned to bring together content and data to address the insatiable demand for personalized customer experiences. No other company has built a foundation like ours.  
 
From the debut of PostScript, the introduction of Photoshop, the invention of PDF, and the creation of the digital marketing software category to our latest transformative innovations, Adobe is changing the world through personalized digital experiences. ",https://business.adobe.com/fr/,
Adsrank,startup,,"Adsrank is a Google Ads agency, Google Partner certified, dedicated to helping ambitious small and medium-sized businesses grow. Founded in 2019, our team of 15 experts combines human expertise with AI-powered technology to build high-performing campaigns.",https://www.adsrank.fr,
Advanced Resonance Kinetics SA,startup,,"Discover ARK Crystal, a revolutionary technology rooted in unified physics that harnesses electromagnetic quantum vacuum fluctuations. With precision engineering, it interacts with your energy to boost vitality, clarity, and balance—promoting well-being.",https://www.arkcrystals.com,
Advizeo ,startup,,advizeo propose des solutions innovantes pour maximiser les économies d'énergie des entreprises et collectivités. La société met la Datascience et l'IA au service des Energy Managers qui pilotent plus efficacement l'énergie des bâtiments. ,https://www.advizeo.io/,
Aegis Technologies,startup,,"Aegis Technologies is a software editor providing innovative technologies to extract, structure and enrich data automatically in your analysis tools. Our modular approach enables integration in any system, as data flow, investigations or data normalization.",https://aegis-technologies.fr,
AELER Technologies,startup,,"AELER reinvents the shipping container. Made from advanced composite materials, offering unmatched strength, insulation, durability, protecting cargo and reducing CO2 emissions for cargo owners. Integrated IoT sensors and security enable end-to-end monitoring.",https://aeler.com,
AEMOTION,startup,,"Get back your freedom !

In a world where mobility feels stuck between congestion and compromise, ÆMOTION breaks free.

Discover the new vehicle that merges true motorbikes' agility with the safety of a car.

ÆMOTION. Drive Bold. Move Smart.",https://ae-motion.com,
AeonX AI SAS,startup,France,"AeonX AI is a deep tech and data security company specializing in AI and quantum-safe cryptography. Their products include BLAZE Quantum, offering E2EE secure file transfer, and nVie, a private AI assistant.
",https://aeonx.ai,
Aerleum,startup,,"Aerleum turns CO₂ into synthetic fuel using a unique reactor that merges capture and conversion. We aim for fossil fuel price parity to accelerate the shift to net-zero fuels in aviation, maritime, and other hard-to-abate industries.",https://aerleum.com,
Aevy,startup,,"Aevy supercharges asset management and due diligence by automatically extracting information from your documents, unlocking a step-change in asset management and due diligence of onshore wind and utility solar assets.",https://aevy.io,
Afflo Transplant Management,startup,Canada,"Afflo delivers a configurable platform that streamlines organ transplant workflows, enabling hospitals to enhance efficiency, achieve excellence, and become global leaders in organ transplantation. ",https://www.afflo.io/,
Africanews,partner,,"Africanews is the only pan-African news media delivering the latest national, regional, continental news 24/7 in French and English languages. Africanews adheres to the same editorial charter as its sister channel Euronews guaranteeing its independence and impartiality.  

Africanews is on a mission to tell African stories from a pan-African perspective, inspiring people to share their opinions and making their voice resonate. Africanews addresses 40M homes in Africa and beyond (USA, UK). Africanews reaches 3.7M African Affluent , offering its unique take on current affairs to opinion leaders or business decision maker. Since 2016 we are committed to changing the African narrative and connecting the continent and the diaspora. ",https://www.africanews.com/,
AfricaTech Lab,partner,,"The AfricaTech Lab, organised by Viva Technology is the place where the African Continent meets with the world. by inviting 9 startups, finalists of the AfricaTech Awards, and hosting a live Stage for all African thematics, this is the place to B2B.",https://vivatechnology.com/,
Africharger,startup,,AFRICHARGER is a pioneering Ivorian company deploying electric vehicle charging infrastructure and battery swapping stations to accelerate green mobility across West Africa.,https://africharger.com,
AFTERDATA,startup,France,"AfterData, ranked among the top 100 RegTechs, offers a next-gen compliance solution using machine learning and micro-segmentation to fight money laundering, terrorist financing, and market abuse, while reducing false positives and improving detection.",https://www.afterdata.com,
AFX54,startup,France,"AFX54 is the hub for African creators - the premier digital platform dedicated to all passionate individuals and talents seeking to amplify their voices, showcase their projects and connect across the continent and African diasporas worldwide.",https://afx54.com/,
AG Partners,partner,,"AG PARTNERS PUBLICIS AFRICA is a 360° strategic communications agency with a Pan-African vision. We support brands, institutions, and organizations in designing and deploying tailored strategies that blend cultural insight, creativity, and impact. From brand positioning and digital activation to public affairs and media relations, our integrated approach ensures coherence and relevance across all touchpoints.",https://www.ag-partners.com/RWD/fr/groupe.php,
AGE IMPULSE,startup,France,"1 in 4 seniors aged 65+ falls each year, a leading cause of injury-related deaths among the elderly. We created Gaitwin©: an award-winning, patented Digital Gait Twin to assess fall risk in just a few steps via a wearable sensor and AI. Deployed in B2B.
",https://age-impulse.com/,
Agence de l'innovation pour les transports,partner,,"The Transport Innovation Agency (AIT) was created by the Minister in charge of Transport in November 2021.
Its mission is to support the mobility ecosystem in meeting the major challenges of transforming our transport systems through innovation: ecological transition, territorial cohesion, resilience, and digital transformation. AIT is driven by the DGITM, DGAC, and DGAMPA.
Propulse is AIT’s flagship program, designed to support and accelerate the most promising innovations — whether technological, social, organizational, industrial, or related to services and user practices.
The program is backed by State services, ensuring strong momentum for acceleration.",https://www.ecologie.gouv.fr/politiques-publiques/agence-linnovation-transports,
Agence Économique Régionale de Bourgogne-Franche-Comté,partner,,"The Bourgogne-Franche-Comté Regional Economic Agency was created on 1 October 2017 by the Bourgogne-Franche-Comté Regional Council and contributes to the development of the region’s economy. It assists companies and regions.

Its strategic objectives are:

- To assist in maintaining and developing economic activity and employment in the region,
- To develop innovation, ecological transition and energy recovery;
- To support the economic development policy, implementing it regionally according to needs,
- To promote the region’s economic appeal.

The Bourgogne-Franche-Comté AER (Regional Economic Agency) provides services aimed at:

- Businesses (Industry, Services to industry, Start-ups)
- Local government areas of the region, i. e. its eight administrative departments",https://aer-bfc.com/,
Agence Nationale de la sécurité des systèmes d'information (ANSSI),partner,,"Created in 2009 as part of the Prime Minister’s Office, the French Cybersecurity Agency (ANSSI) is the national authority in matters of cybersecurity and cyberdefence. ANSSI is responsible for coordinating the defence and protection of information systems. As such, the Agency’s primary objective is, to construct and organise the protection of the country from cyberattacks and to contribute to the stability of the cyberspace. ANSSI’s work revolves around five main missions:
-	Defending critical information systems and the victims of large-scale cyberattacks;
-	Being familiar with the state of the art in cybersecurity and with cyberspace threats;
-	Sharing knowledge, recommendations, and expertise in digital safety;
-	Assisting the national and international ecosystem;
-	Regulating cybersecurity organisations, goods, and services.",https://cyber.gouv.fr/,
Agence Universitaire Innovation,startup,,"AUI TECHNO designs solar-powered, connected incubators tailored for Africa. Over 200 units are already operating in 7 countries, saving 3,000+ lives. Our goal: deploy 600,000 units to protect every newborn across the continent.",https://www.aui-techno.africa,
Agenz,startup,,"Nous inventons le futur de l'immobilier au Maroc, pour aider chaque personne à vendre et acheter les yeux fermés.

",https://agenz.ma,
AGILOX Services GmbH,startup,,We have reimagined Automated Guided Vehicles (AGVs) from the ground up and see our robots as a revolutionary development of AGVs. The intelligence of our material handling robots avoids investments in infrastructure.,https://www.agilox.net/en/,
"Agnavi Co., Ltd.",startup,,"Agnavi is promoting its original Japanese sake brands, ICHI-GO-CAN® and Canpai®, both are 180-milliliter cans of sake to enjoy smaller size, stylish, and handy alcoholic beverages. Creating new markets to innovate sake lovers' lifestyle.",https://agnavi.co.jp,
AGON,startup,,"Agon utilise la réalité virtuelle pour renforcer les capacités cognitives. Ses entraînements s’adressent à tous en développant attention, réactivité et gestion du stress, essentiels à tout âge et dans tout métier. ",https://agon-league.com/,
Agora Labs,startup,,"Agora Labs creates mathematically anonymized datasets for real-world studies and clinical AI, using federated learning for real-time access to global data networks. Its agentic LLMs extract and standardize previously inaccessible clinical information.",https://www.agoralabs.eu/,
Agorize Bloomflow,partner,,"Agorize and Bloomflow are shaping the future of how enterprise organizations innovate and grow. 300+ companies trust Agorize and Bloomflow, including L'Oréal, HSBC, Capgemini, Unilever, Generali, Pepsico, and Microsoft.

🔹 Agorize is the leading solution to launch innovation programs at scale. Through open innovation challenges, hackathons, and intrapreneurship initiatives, Agorize helps organizations engage with startups, students, and employees to source and develop bold new ideas—globally and efficiently.

🔹 Bloomflow is the leading software to drive innovation-led growth. With a focus on strategy execution, Bloomflow enables innovation teams to align priorities, manage global portfolios, and accelerate the rollout of impactful initiatives.

Together, they offer a comprehensive approach to innovation—from sourcing ideas to scaling outcomes—empowering organizations to stay ahead.
",https://get.agorize.com/,
Agri Minga,startup,,"AgriMinga is an AgriTech company that uses IoT, and data analytics to optimize farming, improve crop yields and promote sustainability.",https://agriminga.com,
Agrimage,startup,,"AGRIMAGE SAS is a consulting and support firm operating across the entire agricultural value chain, from land acquisition (Tontine tool) to third-party management and marketing (Sen AgriMarket).",https://agrimagesas.com/,
Agyre,startup,,"Agyre is an engineering office working to develop and deploy the circular economy within the construction sector. Its comprehensive approach is based on 3 scopes: trainings, operations and innovations. ",https://www.agyre.com/,
AI Cargo Foundation,startup,France,"AI Cargo is a government-funded association in France developing a sovereign AI platform and digital solutions to decarbonise logistics. Focus areas: long-distance transport, urban logistics, fleet transition, and accurate freight carbon tracking.",www.aicargofoundation.org,
AI Network of BC,partner,,"The AI Network of British Columbia (AInBC) is the industry association for artificial intelligence in BC, dedicated to advancing the province’s AI ecosystem. We connect startups, scaleups, researchers, investors, and public sector leaders to foster innovation, drive commercialization, and support responsible AI adoption. Through strategic partnerships, events, and advocacy, AInBC serves as the central hub for AI industry growth across British Columbia.
",https://ainbc.ai,
AI Planet,startup,,"Enabling enterprises to build and deploy autonomous AI agents using a secure & reliable full-stack GenAI platform. Thriving on 300k+ global AI community, our larger vision is to make AI accessible for everyone.",https://aiplanet.com/,
AI ROBOTICS FRANCE,startup,,"From innovation to excellence.

Since its founding, Al Robotics has undergone remarkable growth as a pioneer in the field of robotics and artificial intelligence. ",https://airobotics.fr/,
AI SILK CORPORATION,startup,,AI Silk is the manufacturer of metal free smart textile. This textile has achieved high conductivity and high washing durability. This textile also gives users a smooth feel and high level of safety.,https://www.ai-silk.com/english,
AI VisionGuard UG ,startup,,"AI VisionGuard empowers startups to protect their brands with AI. Our platform makes trademark search, registration & monitoring simple, fast & affordable—no legal know-how needed. Smart brand protection made for the next generation of entrepreneurs.",https://aivisionguard.eu/,
AI-Stroke,startup,,"AI-Stroke develops advanced AI for pre-hospital stroke screening, enabling faster, more accurate diagnosis in ambulances and emergency settings.",https://www.ai-stroke.com,
AI.Energy Inc.,startup,Canada,"AI.Energy is an AI-native enterprise SaaS company automating complex engineering, procurement, and construction (EPCM) workflows for Energy capital projects.",https://www.aienergy-oilandgas.com,
AI.Land HC GmbH,startup,,AI.Land developes agricultural robotics and AI.,www.a-i.land,
AI4IV Srl,startup,,"AI4IV develops bio-inspired vision systems powered by revolutionary image sensors and edge AI. Its flagship technology, FlyEye, mimics the human eye-brain system to deliver real-time object recognition even in extreme lighting conditions.",https://www.ai4iv.com/,
Aichi Prefecture,partner,,"Aichi Prefecture is one of the local governments of Japan. We are ranked 3rd in productivity in Japan, and our strong industry is manufacturing.
In October 2024, we opened Station Ai, (come from Aichi, not artificial intelligent) inspired by Station F. It is the largest innovation terminal in Japan. Now there are 500 startups and 260 partner companies. If you are interested in our facility, feel free to contact us!",https://www.pref.aichi.jp/global/en/index.html,
AIDA - Albania,startup,,"The Albanian Investment Development Agency is a public institution that operates to attract and facilitate foreign direct investment, to enhance the competitiveness of local businesses, and to boost the country’s export potential. ",https://www.aida.gov.al/,
Aikido Security,startup,,"Aikido is your no-nonsense security platform. One central system that shows you what matters and how to fix it, from code-to-cloud.‍ Get security done 🤝 get back to building.",https://www.aikido.dev/,
Ailicorn,startup,,Expert mmWave algorithm team delivering AIoT solutions for smart health/medical/cities. Flagship products: fall detection (FD1) & skeleton tracking (BDV1). Next: blood pressure sensing.,ailicorn.com/,
Ailytics Limited,startup,,"Ailytics empowers heavy industries to enhance safety, productivity, and operational efficiency by transforming any existing camera infrastructure into an intelligent AI-driven system to delivers real-time actionable insights for better decision making.",https://ailytics.ai/,
AINDO,startup,,"Aindo generates hyper-realistic, EuroPrivacy®-certified synthetic data using generative AI. It enables fast and secure data sharing, collaboration, and monetization.",https://www.aindo.com/,
AINEO,startup,,"AINEO is a new, Abidjan-based publisher, specialized in high-AI content for agritech, medtech, and public services.",https://aineo.ai,
AINX Computing Ltda,startup,,"An innovative artificial intelligence solution to support individuals with ASD, promoting inclusion, and quality of life. Our technology facilitates communication, adaptation, and learning, connecting neurodiverse individuals, educators and caregivers.
",https://www.inkludo.com.br/en,
aiOla,startup,,"aiOla is a Voice, Speech, and Conversational AI lab making voice the main interface for enterprise AI. In noisy, high-stakes settings, voice is the fastest path to data—We turn any language, accent, or business jargon into real-time, structured insight.",https://aiola.ai/,
AIPLUX,startup,,"AIPLUX is a next-generation AI infrastructure company, merging legal expertise, advanced machine learning, and the real-world demands of intellectual property (IP) governance. ",https://aiplux.com/,
Aira ,startup,,"Aira is a clean energy-tech company on a mission to decarbonize home heating with intelligent heat pumps. Aira's vertically integrated model and leading customer proposition makes clean heat accessible, helping more people to reduce CO2 while saving money.",https://company.airahome.com,
AIRA Corporation,startup,,"AIRA specializes in AI video recognition and analytics, applying 20+ years of expertise to enhance safety and efficiency. Solutions are deployed in access control, construction, factory, and retail environments to support automation and smart management.",https://www.aira.com.tw/,
Airacles,startup,,"Face the AI. Live the scenario.
While you decide, move, speak—expert AIs decode your every signal: posture, knowledge, intent.
Not a simulation. A mirror.
ot a simulation. A mirror.
Real-time feedback, real growth.
Retail, health, law, mgt—transform",https://maze.team,
AIRE Software FZ-LLC,startup,,"AIRE is leveraging AI, Big Data and automation to offer real estate developers and investors fast and affordable development Feasibility Studies and Highest & Best Use Studies reports",https://www.airealestate.org/,
"AIRECO Co., Ltd",startup,,"AIRECO is a Taiwan startup building an AI-powered recycling ecosystem that connects households, facilities, and producers. Our AI recycling system optimize sorting, cut labor, and unlock more value—enabling a scalable, circular, and sustainable solution. ",https://www.aireco.tw/en,
AirInternet,startup,,"We are a European Internet Service Provider and expert in mobile connectivity and SD-WAN. Our redundant core network is hosted in several European Tier1 data centers.

With AirInternet, No Fiber is No Problem! ",https://airinternet.eu/,
AIRSPIDER,startup,,"Next-gen cloud & networks: secure, smart, unbreakable, energy-savvy — and 100% uncompromised
",https://airspider.fr,
Airudi,startup,Canada,"Airudi is a Canadian pioneer in AI-driven workforce management, with solutions deployed across thousands of companies in Canada and around the world.",https://airudi.com/en/,
Airwallex,startup,,"Airwallex is a leading global financial platform for modern businesses, offering trusted solutions to manage everything from payments, treasury, and spend management to embedded finance.",https://www.airwallex.com,
Aitaca,startup,,"Bring the in-store experience to your jewelry & wearables ecommerce. With just a hand photo, our AI delivers instantly size recommendations for rings—and more coming soon. Know your customer, boost confidence, drive conversion, and reduce returns.",https://aitaca.io,
AIVAR,startup,,W4U is an innovative PoD platform designed to make personalized fashion and homeliving genuine leather products streamlined with a smart factory system. ,https://aivar.io/,
Aive,startup,,"Aive is the First Creative AI Copilot for Video Performance—instantly generating formats, cuts, variations, subtitles, clips... from one original video, tailored to each platform. Built for brands, agencies, and TV companies shaping the future.




",https://www.aive.com,
Aivis,startup,,"Aivis is an Operations Intelligence Automation platform that transforms logistics through multi-agent AI systems. Our platform actively makes and executes operational decisions in real-time, predicting issues and optimizing operations.",https://www.aivis.fr,
AJ2 Co. Ltd.,startup,,"We have been in the iris recognition industry for 24 years. After three previous failures, this is our fourth venture. That's why our technology is now world-class, and a remarkable sales performance is also being achieved.",https://jtwoc.com/theme/basic/soda-html/,
akawan,startup,,"akawan ,occitan expertise driving your digital transformation.
For 20 years, we’ve been creating innovative, human-centered, and business-focused solutions to support companies in their digital transformation and AI integration.",https://akawan.com,
Akeneo,startup,,"Akeneo is a global leader in Product Information Management (PIM); creating a world where every product interaction is an experience
that guides consumers and professionals to the best purchase anytime, anywhere. ",https://www.akeneo.com/fr,
Akidaia - Offline Access Control,startup,,"Akidaia, a French deeptech, is revolutionizing physical access control with a 100% offline identification solution, ultra-secure, with no infrastructure need. Our patented technology enhances the security of sensitive, remote or critical sites. ",https://akidaia.com,
Akidaia – Offline Access Control,startup,,"Akidaia, a French deeptech, is revolutionizing physical access control with a 100% offline identification solution, ultra-secure, with no infrastructure need. Our patented technology enhances the security of temporary, isolated or critical sites.",https://akidaia.com,
AKILA,startup,,"Akila is a cloud-based digital twin platform that uses AI and real-time data to transform building operations. Designed for rapid deployment and portfolio-wide scalability, Akila enables smarter, more sustainable building management. ",https://www.akila3d.com,
Akivi,startup,,"The company AKIVI is dedicated to supporting the training of our future healthcare professionals in human anatomy.
AKIVI offers educational programs that combine various teaching methods within personalized and certified learning paths. ",https://www.akivi.fr,
Aktionnaire,partner,,"Aktionnaire est un média de référence en finance, qui touche plus d'un millions de personnes chaque mois.",https://aktionnaire.com,
alangu GmbH,startup,,"We develop scalable AI-based sign language technology so that organizations can make digital services accessible to deaf users, without interpreters or costly videos. Our plug & play sign software already makes websites and public information accessible.",https://alangu.de,
ALATYR,startup,,"ALATYR develops robotic space stations, a strategic capability for Europe in space operations, robotic exploration, and microgravity research and production.",https://www.alatyr.space,
Alb. Investment Corporation/DURANA,startup,,"The AIC is a state-owned entity dedicated to the strategic development and sustainable use of public assets to foster national economic growth.
DTP is Albania’s first science and tech park,  to promote innovation in AI, cloud computing, and robotics. ",https://www.aicorporation.al/,
Albanian Council 4 Tech &Innovation,startup,,"Albanian Council for Technology and Innovation is a national association of IT professionals.
ACTI is dedicated to fostering technological advancement and innovation in Albania and the surrounding region. ",https://www.acti.al,
Alchimie Data Solutions,startup,France,"At Alchimie Data Solutions, we help companies automate and secure their data exchanges between software systems, implement data warehouses, and manage IoT projects.
Our solution, Onyx, is a web-based platform designed to accelerate data projects.",https://www.onyx.paris,
ALCMEON,startup,France,"Alcmeon is the frontline AI-powered solution of Fortune 500 companies to enhance customer engagement via conversational experiences. 
Our services:
-Omnichannel Engagement
-CRM integration
-Workflow Builder
-Advisor Console
-Analytics
-Privacy & Security",https://www.alcmeon.ai/,
Alefredo Exams,startup,,"AI-powered test-bank that transforms exams and worksheets into interactive, gamified content. We offer quizzes, past exams, and rewards to engage students from grades 6–12 (American, British IB educational Systems) and medical students.",https://alefredoexams.com,
Alfred Technologies Inc.,startup,,"Alfred uses AI and advanced analytics to optimize beverage operations. Our platform helps clients reduce waste, boost margins, and create hyper-personalized experiences — even in complex environments like stadiums and large-scale events.",https://www.alfredtechnologies.com ,
ALGA BIOLOGICS,startup,,"Bioinspired by the oceans, ALGA BIOLOGICS uses microalgae as a cell biofactory to produce recombinant proteins such as antibodies used as diagnostics and research tools and biologics in a sustainable and eco-responsible manner.",https://www.algabiologics.com,
